id	name	fa_label
1	Hassan Pakravan	حسن پاکروان
2	علی آهنی	علی آهنی
3	Mahmoud Jam	محمود جم
4	محمدحسین مشایخ فریدنی	محمدحسین مشایخ فریدنی
5	Mohammad Mokri	محمد مکری
6	Ferouk Khan	ابوطالب غفاری
7	علی معتمدی	علی معتمدی
8	Ali Jannati	علی جنتی
9	نادر آراسته	نادر آراسته
10	Fereydun Adamiyat	فریدون آدمیت
11	Ali Amini	علی امینی
12	تهمورس آدمیت	تهمورس آدمیت
13	Morteza Alviri	مرتضی الویری
14	مهدی فرخ	مهدی فرخ
15	Mirza Abolhassan Khan Ilchi	ابوالحسن شیرازی
16	Meir Ezrī	مئیر عزری
17	مجید آهی	مجید آهی
18	Kenneth D. Taylor	کن تیلور
19	Haji Washington	حسینقلی صدرالسلطنه
20	Hassan Kazemi Qumi	حسن کاظمی قمی
21	Ardeshir Zahedi	اردشیر زاهدی
22	Aleksander Griboyedov	الکساندر گریبایدوف
23	Mehdi Haeri Yazdi	مهدی حائری یزدی
24	Nematollah Nassiri	نعمت‌الله نصیری
25	محمدقاسم خان والی	محمدقاسم خان والی
26	عبدالرحیم گواهی	عبدالرحیم گواهی
27	Robert Shirley	رابرت شرلی
28	هوهانس خان ماسحیان	هوهانس خان ماسحیان
29	Hasan Arfa	حسن ارفع
30	Mirza Saleh Shirazi	میرزا صالح شیرازی
31	Mohammad Najibullah	محمدنجیب‌الله
32	Seyed Mahmoud Reza Sajjadi	سید محمود رضا سجادی
33	فداحسین مالکی	فداحسین مالکی
34	حسین کاظم‌پور اردبیلی	حسین کاظم‌پور اردبیلی
35	Fazlollah Reza	فضل‌الله رضا
36	Hossein Ala	حسین علاء
37	Seyed Mehdi Miraboutalebi	سید مهدی میرابوطالبی
38	برادران اردلان	برادران اردلان
39	سید باقر کاظمی	سید باقر کاظمی
40	حسین سمیعی	حسین سمیعی
41	Mirza Malkam Khan	میرزا ملکم‌خان
42	سید محمود دعایی	سید محمود دعایی
43	Manouchehr Mottaki	منوچهر متکی
44	Sadegh Kharazi	سید محمدصادق خرازی
45	Abdullah Entezam	عبدالله انتظام
46	Ali Akbar Mohtashamipur	علی‌اکبر محتشمی‌پور
47	حسن دانایی‌فر	حسن دانایی‌فر
48	Hushang Ansary	هوشنگ انصاری
49	Ali Soheili	علی سهیلی
50	Khalil Esfandiary Bakhtiary	خلیل اسفندیاری
51	Mohammad Hossein Adeli	محمدحسین عادلی
52	Yousuf Khan Mostashar al Dowleh	یوسف مستشارالدوله
53	محمود فروغی	محمود فروغی
54	زین‌العابدین رهنما	زین‌العابدین رهنما
55	Abbas Amir Entezam	عباس امیرانتظام
56	Hossein Mousavian	حسین موسویان
57	Mohammad Soleimani	محمد سلیمانی
58	Khosrow Mirza	خسرو میرزا
59	Hasan Arsanjani	حسن ارسنجانی
60	William H. Sullivan	ویلیام سالیوان
61	Hamid Reza Assefi	حمیدرضا آصفی
62	حسنعلی کمال هدایت	حسنعلی کمال هدایت
63	Gholamreza Ansari	غلامرضا انصاری
64	علیرضا شیخ عطار	علیرضا شیخ عطار
65	Anthony Parsons	آنتونی پارسونز
66	محمود علامیر	محمود علامیر
67	Hassan Taqizadeh	حسن تقی‌زاده
68	Abbas Araghchi	سید عباس عراقچی
69	نادر باتمانقلیچ	نادر باتمانقل̆
70	Mirza Riza Khan	پرنس ارفع
71	Sergey Kavtaradze	سرگی کافتارادزه
72	جلال عبده	جلال عبده
73	Nasrollah Entezam	نصرالله انتظام
74	Yakup Kadri Karaosmanoğlu	یعقوب قدری قراعثمان اوغلو
75	Ali Mansur	علی منصور
76	Hassan Pirnia	حسن پیرنیا
77	Abolqasem Najm	ابوالقاسم نجم
78	Samad Khan Momtaz os Saltaneh	ممتاز السلطنه
79	Manucher Mirza Farman Farmaian	منوچهر میرزا فرمانفرمائیان
80	میرمحمدحسین عضدالملک قزوینی	میرمحمدحسین عضدالملک قزوینی
81	غلام‌عباس آرام	غلام‌عباس آرام
82	Abbas Ali Khalatbari	عباسعلی خلعتبری
83	سید علی نصر	سید علی نصر
84	Abdelhadi Tazi	عبدالهادی التازی
85	جعفر مشیرالدوله	جعفر مشیرالدوله
86	Hasan Ali Khan Garusi	امیرنظام گروسی
