id	name	fa_label
1	سلطان الواعظین	سلطان الواعظین
2	Ali Khamenei	سید علی خامنه‌ای
3	Musa al Sadr	سید موسی صدر
4	Lotfollah Safi Golpaygani	لطف‌الله صافی گلپا̯انی
5	Ebrahim Amini	ابراهیم امینی
6	Mohsen Koochebaghi Tabrizi	محسن کوچه‌باغی تبریزی
7	Mohsen Araki	محسن اراکی
8	Mohammad Reza Nekoonam	محمدرضا نکونام
9	Mohammed Kazem Yazdi	سید محمدکاظم طباطبایی یزدی
10	Hossein Noori Hamedani	حسین نوری همدانی
11	Ali Meshkini	علی مشکینی
12	Abu al Qasim al Khoei	سید ابوالقاسم خویی
13	نورالدین اشنی	نورالدین اشنی
14	Yasubedin Rastegar Jooybari	یعسوب‌الدین رستگار جویباری
15	علی حایری بارجینی	علی حایری بارجینی
16	Ali Mohammad Dastgheib Shirazi	سید علی‌محمد دستغیب
17	Mohammed Emami Kashani	محمد امامی کاشانی
18	Hashem Amoli	میرزا هاشم آملی
19	Reza Ostadi	رضا استادی
20	Abbas Hosseini Kashani	عباس حسینی کاشانی
21	Hossein Vahid Khorasani	حسین وحید خراسانی
22	Morteza Motahhari	مرتضی مطهری
23	سید حبیب‌الله برهانی	سید حبیب‌الله برهانی
24	Ghorbanali Dorri Najafabadi	قربانعلی دری نجف‌آبادی
25	Mohammad Reza Mahdavi Kani	محمدرضا مهدوی کنی
26	آمنة المجلسي	آمنه ب̯م مجلسی
27	Mohammad Fazel Lankarani	محمد فاضل لنکرانی
28	Abdul Karim Haeri Yazdi	عبدالکریم حائری یزدی
29	Haj Aqa Nourollah	نورالله نجفی اصفهانی
30	Mohammad Reza Golpaygani	سید محمدرضا گلپا̯انی
31	Sheikh Haron	شیخ هارون
32	Mostafa Mohaghegh Damad	سید مصطفی محقق داماد
33	Abdul Karim Mousavi Ardebili	سید عبدالکریم موسوی اردبیلی
34	Muhammad Husayn Tabatabaei	سید محمدحسین طباطبایی
35	Mousa Shubairi Zanjani	سید موسی شبیری زنجانی
36	Hussein Ali Montazeri	حسینعلی منتظری
37	Abdullah Musawi Shirazi	سید عبدالله شیرازی
38	Mehdi Haeri Yazdi	مهدی حائری یزدی
39	Mohammad Ali Taskhiri	محمدعلی تسخیری
40	Nematollah Salehi Najafabadi	نعمت‌الله صالحی نجف‌آبادی
41	Mahmoud Hashemi Shahroudi	محمود هاشمی شاهرودی
42	Hashemi Rafsanjani	اکبر هاشمی رفسنجانی
43	Mohammad Reza Tavassoli	محمدرضا توسلی
44	فتح الله الأصفهاني	فتح‌الله غروی اصفهانی
45	Abbas Ali Amid Zanjani	عباسعلی عمید زنجانی
46	Mohammad Yazdii	محمد یزدی
47	Rahim Arbab	رحیم ارباب
48	Naser Makarem Shirazi	ناصر مکارم شیرازی
49	Sayyid Sadeq Rohani	سید محمدصادق روحانی
