id	name	fa_label
1	Siege of Abadan	حصر آبادان
2	2011 attack on the British Embassy in Iran	حمله به سفارت بریتانیا در تهران
3	Iranian coup detat (1953)	کودتای ۲۸ مرداد
4	Abadan Crisis	بحران آبادان
5	Battle of Dilman	نبرد دیلمقان
6	Battle of Damghan	نبرد دامغان
7	Battle of the Persian Border	نبرد مرز پارس
8	Iran student protests, July 1999	حمله به کوی دانشگاه تهران
9	Iran student protests, July 1999	حمله به کوی دانشگاه تهران (۱۸ تیر ۱۳۷۸)
10	Operation Tariq al Qods	عملیات طریق‌القدس
11	Operation Mersad	عملیات مرصاد
12	Operation Beit ol Moqaddas	عملیات بیت‌المقدس
13	Operation Samen ol Aemeh	عملیات ثامن‌الائمه
14	Attack on H3	عملیات اچ ۳
15	Russian Civil War	جنگ داخلی روسیه
16	June 5, 1963 demonstrations in Iran	قیام ۱۵ خرداد
17	Operation Morvarid	عملیات مروارید
18	Operation Undeniable Victory	عملیات فتح‌المبین
19	Battle of Chaldiran	جنگ چالدران
20	Iran hostage crisis	بحران گروگان‌گیری در سفارت ایالات متحده آمر̩ا
21	Muslim conquests	فتوحات مسلمانان
22	Azerbaijan International Cycling Tour	تور دوچرخه‌سواری بین‌المللی آذربایجان
23	Anglo Soviet invasion of Iran	اشغال ایران در جنگ جهانی دوم
24	Liberation of Khorramshahr	آزادسازی خرمشهر
25	1974 Asian Games	بازی‌های آسیایی ۱۹۷۴
26	Battle of Nahāvand	جنگ نهاوند
27	2009–10 Iranian election protests	پیامدهای انتخابات ریاست جمهوری دهم ایران
28	Operation Sultan 10	عملیات سلطان ۱۰
29	Battle of Khushab	جنگ خوشاب
30	Battle of Dezful	عملیات دزفول
31	Operation Kaman 99	عملیات کمان ۹۹
32	Anglo Persian War	جنگ هرات
33	Tehran Conference	کنفرانس تهران
34	Battle of the Persian Gate	نبرد دروازه پارس
35	Operation Eagle Claw	عملیات طبس
36	Iran crisis of 1946	بحران ایران در سال ۱۹۴۶
37	Russo Persian War (1804–13)	دوره اول جنگ‌های ایران و روسیه
38	Muslim conquest of Persia	حمله اعراب به ایران
