id	name	fa_label
1	Operation Dawn 2	عملیات والفجر ۲
2	Operation Earnest Will	عملیات اراده جدی
3	Soviet war in Afghanistan	جنگ شوروی در افغانستان
4	Siege of Abadan	حصر آبادان
5	Operation Nimble Archer	عملیات کمانگیر چابک
6	Civil war in Afghanistan (1992–96)	جنگ‌های کابل
7	2006 Lebanon War	جنگ اسرائیل و لبنان ۲۰۰۶
8	Operation Prime Chance	عملیات فرصت برجسته
9	1991 uprisings in Iraq	خیزش شعبانیه
10	Operation Kheibar	عملیات خیبر
11	Operation Mersad	عملیات مرصاد
12	Operation Samen ol Aemeh	عملیات ثامن‌الائمه
13	Operation Badr (1985)	عملیات بدر
14	Operation Karbala 6	عملیات کربلای ۶
15	Operation Morvarid	عملیات مروارید
16	Operation Undeniable Victory	عملیات فتح‌المبین
17	Iran hostage crisis	بحران گروگان‌گیری در سفارت ایالات متحده آمر̩ا
18	Operation Praying Mantis	عملیات آخوندک
19	Liberation of Khorramshahr	آزادسازی خرمشهر
20	Operation Karbala 4	عملیات کربلای ۴
21	Operation Ramadan	عملیات رمضان
22	Operation Dawn 3	عملیات والفجر ۳
23	Shia insurgency in Yemen	شورش صعده
24	Battle of Khushab	جنگ خوشاب
25	Battle of Dezful	عملیات دزفول
26	Operation Kaman 99	عملیات کمان ۹۹
27	Lebanese Civil War	جنگ داخلی لبنان
28	2006 Lebanon War	جنگ اسرائیل و لبنان ۲۰۰۶ (میلادی)
29	Operation Dawn (1983)	عملیات والفجر ۱
30	First Battle of al Faw	عملیات والفجر ۸
31	Operation Dawn 4	عملیات والفجر ۴
32	Operation Karbala 5	عملیات کربلای ۵
