id	name	fa_label
1	National Trust Party (Iran)	حزب اعتماد ملی
2	Islamic Republican Party	حزب جمهوری اسلامی
3	Peykar	سازمان پ̩ار در راه آزادی طبقه کارگر
4	Organization of Communist Revolutionaries (Marxist–Leninist)	سازمان انقلابیون کمونیست (م ل)
5	Society of Devotees of the Islamic Revolution	جمعیت ایثارگران انقلاب اسلامی
6	Communist Party of Iran (Marxist–Leninist–Maoist)	حزب کمونیست ایران
7	Front of Islamic Revolution Stability	جبهه پایداری انقلاب اسلامی
8	Rastakhiz Party	حزب رستاخیز
9	Communist Party of Iran	حزب کمونیست ایران
10	Etedalion Party	اعتدالیون
11	Modern Thinkers Party of Islamic Iran	حزب نواندیشان ایران اسلامی
12	Islamic Iran Participation Front	جبهه مشارکت ایران اسلامی
13	Fedaian Organisation (Minority)	سازمان فدائیان خلق
14	Political parties in Iran	فهرست احزاب سیاسی در ایران
15	Iranian Peoples Fedai Guerrillas	چر̩‌های فدایی خلق ایران
16	Association of Combatant Clerics	مجمع روحانیون مبارز
17	Pan Iranist Party	حزب پان ایرانیست
18	Alliance of Builders of Islamic Iran	ائتلاف آبادگران ایران اسلامی
19	Union of Communist Militants	اتحاد مبارزان کمونیست
20	Organization of Iranian Peoples Fedai Guerrillas	سازمان چر̩‌های فدایی خلق ایران
21	Nationalist Religious movement	شورای فعالان ملی مذهبی ایران
22	United Front of Conservatives	جبهه متحد اصولگرایان
23	Organization of Iranian Peoples Fedaian (Majority)	سازمان فداییان خلق ایران (اکثریت)
24	Revival Party	حزب تجدد
25	SUMKA	حزب سومکا
26	Fedaian Organisation (Minority)	سازمان فدائیان خلق (اقلیت)
27	Worker communist Party of Iran	حزب کمونیست کارگری ایران
28	Nation Party of Iran	حزب ملت ایران
29	Islamic Labour Party	حزب اسلامی کار
30	Constitutionalist Party of Iran	حزب مشروطه ایران
31	Kurdish United Front	جبهه متحد کرد
32	Peoples Mujahedin of Iran	سازمان مجاهدین خلق ایران
33	Peoples Voice (Iran)	جبهه صدای ملت
34	Islamic Coalition Party	حزب مؤتلفه اسلامی
35	Labour Party of Iran	حزب کار ایران (طوفان)
36	Democratic Party of Iranian Kurdistan	حزب دموکرات کردستان ایران
37	Communist Party of Persia	حزب کمونیست ایران
38	Leftist guerrilla groups of Iran	گروه‌های چر̩ی چپ‌گرا در ایران
39	Mojahedin of the Islamic Revolution Organization	سازمان مجاهدین انقلاب اسلامی ایران
40	National Democratic Front (Iran)	جبهه دموکرات̩ ملی ایران
41	Muslim Peoples Republic Party	حزب جمهوری خلق مسلمان ایران
42	Labour Party of Iran	حزب کار ایران
43	Communist Party of Iran (Marxist–Leninist–Maoist)	حزب کمونیست ایران (مارکسیست لنینیست مائوئیست)
44	Socialist Party (Iran)	حزب سوسیالیست
45	Communist Party of Persia	حزب کمونیست ایران (دهه ۱۹۲۰)
46	Union of Iranian Communists (Sarbedaran)	اتحادیه کمونیست‌های ایران
47	Komalah	کومله
48	Organization of Iranian Peoples Fedaian (Majority)	سازمان فداییان خلق ایران
49	Worker communist Party of Iran – Hekmatist	حزب کمونیست کارگری ایران حکمتیست
50	Freedom Movement of Iran	نهضت آزادی ایران
51	Green Party of Iran	حزب سبزهای ایران
52	Iranian Peoples Fedai Guerrillas	چر̩‌های فدایی خلق ایران (جریان اشرف دهقانی)
53	Tudeh Party of Iran	حزب توده ایران
54	Union of Peoples Fedaian of Iran	سازمان اتحاد فداییان خلق ایران
55	National Front (Iran)	جبهه ملی ایران
56	Islamic Society of Engineers	جامعه اسلامی مهندسین
57	Socialist Party (Iran)	حزب سوسیالیست (ایران)
58	Labour Coalition (Iran)	خانه کارگر
59	Islamic Association of Women	مجمع اسلامی بانوان
60	Executives of Construction Party	حزب کارگزاران سازندگی
61	Organization of Communist Revolutionaries (Marxist–Leninist)	سازمان انقلابیون کمونیست
62	New Iran Party	حزب ایران نوین
63	Democracy Party (Iran)	حزب مردم‌سالاری
64	Combatant Clergy Association	جامعه روحانیت مبارز
65	PJAK	پژاک
