id	name	gender	born_in	die_in	fa_label
1	Mohammad Ali Foroughi	male	Tehran	Tehran	محمدعلی فروغی
2	حسن علی صارمی کلالی				حسن علی صارمی کلالی
3	Massoud Mirza Zell e Soltan	male			ظل‌السلطان
4	Mansoor Hekmat	male		London	منصور حکمت
5	Alireza Ali Ahmadi	male	Isfahan		علیرضا علی‌احمدی
6	حمید زنگنه				حمید زنگنه
7	Kamran Bagheri Lankarani	male	Tehran		کامران باقری لنکرانی
8	Davoud Soleymani	male			داوود سلیمانی
9	Ali Khamenei	male	Mashhad		سید علی خامنه‌ای
10	Ali Rabiei	male	Tehran		علی ربیعی
11	غلامحسین خان سالار محتشم				غلامحسین خان سالار محتشم
12	Ahmad Madani	male	Kerman	Denver	احمد مدنی
13	Ali Akbar Salehi	male	Karbala		علی‌اکبر صالحی
14	Hassan Pakravan	male	Tehran	Tehran	حسن پاکروان
15	Ahmad Bourghani	male	Tehran	Tehran	احمد بورقانی
16	Alireza Nourizadeh	male			علی‌رضا نوری‌زاده
17	Keyhan Hashemnia	male			کیهان هاشم‌نیا
18	Balami				ابوعلی بلعمی
19	Vosough od Dowleh	male	Tehran	Tehran	حسن وثوق
20	Mahmoud Jam				محمود جم
21	Al Muqanna	male			مقنع
22	Ali Akbar Velayati	male	Tehran		علی‌اکبر ولایتی
23	ناصر ریگی				ناصر ر̯ی
24	Ahmad Tavakkoli	male	Behshahr		احمد توکلی
25	نصرالله فاطمی				نصرالله فاطمی
26	Kazem Sami	male	Mashhad	Tehran	کاظم سامی
27	Ezzatollah Sahabi	male	Tehran	Tehran	عزت‌الله سحابی
28	علی‌اکبر طباطبایی				علی‌اکبر طباطبایی
29	Ali Shakouri Rad	male			علی شکوری‌راد
30	Mohammed Kazem Yazdi	male			سید محمدکاظم طباطبایی یزدی
31	Keikhosrow Shahrokh	male			کیخسرو شاهرخ
32	Rahman Dadman	male	Ardabil		رحمان دادمان
33	Mohsen Kadivar	male			محسن کدیور
34	Mojtaba Vahedi	male			مجتبی واحدی
35	علی‌اکبر اشعری				علی‌اکبر اشعری
36	Mehdi Bazargan	male	Tehran	Zürich	مهدی بازرگان
37	Ali Meshkini	male	Meshginshahr	Tehran	علی مشکینی
38	Javad Etaat				جواد اطاعت
39	سعید رجائی خراسانی		Kerman	Kerman	سعید رجائی خراسانی
40	حسین علیزاده (دیپلمات)				حسین علیزاده (دیپلمات)
41	محمدرضا مخبر				محمدرضا مخبر
42	Hassan Modarres	male			سید حسن مدرس
43	Ahmad Qavam	male	Tehran	Tehran	احمد قوام
44	Shamseddin Hosseini	male	Tonekabon		سید شمس‌الدین حسینی
45	مهرداد پهلبد				مهرداد پهلبد
46	Masoud Mir Kazemi	male	Tehran		مسعود میر کاظمی
47	Ali Jannati	male			علی جنتی
48	Shojaeddin Shafa				شجاع‌الدین شفا
49	محمد اسلامی		Tehran		محمد اسلامی
50	Mina Ahadi	female	Abhar		مینا احدی
51	Mohsen Aminzadeh	male			محسن امین‌زاده
52	محمد شریعتمداری		Tehran		محمد شریعتمداری
