id	name	fa_label
1	Jafar Panahi	جعفر پناهی
2	Abdolreza Ghanbari	عبدالرضا قنبری
3	Abbas Palizdar	عباس پالیزدار
4	Roxana Saberi	رکسانا صابری
5	2009–11 detention of American hikers by Iran	بازداشت سه آمر̩ایی توسط ایران
6	Amir Mirza Hekmati	امیر میرزایی حکمتی
7	Sherko Moarefi	شیرکو معارفی
8	Mohsen Aminzadeh	محسن امین‌زاده
9	Ali Farahbakhsh	علی فرح‌بخش
10	Saeed Mortazavi	سعید مرتضوی
11	Mohammad Reza Ali Zamani	محمدرضا علی‌زمانی
12	Ali Heydariyan	علی حیدریان
13	محمدمهدی عبدخدایی	محمدمهدی عبدخدایی
14	Mohammad Ali Taheri	محمدعلی طاهری
15	Mitra Farahani	میترا فراهانی
16	Narges Mohammadi	نرگس محمدی
17	Mohammad Davari	محمد داوری
18	Valiullah Faiz Mahdavi	ولی‌الله فیض مهدوی
19	The Fifty Three	۵۳ نفر
20	Saeed Emami	سعید امامی
21	Hossein Ronaghi	حسین رونقی
22	Amir Hossein Heshmat Saran	امیرحسین حشمت ساران
23	Emadeddin Baghi	عمادالدین باقی
24	Saeed Laylaz	سعید لیلاز
25	Bahman Ahmadi Amouee	بهمن احمدی امویی
26	Akbar Mohammadi (student)	اکبر محمدی (فعال دانشجویی)
27	جلال رفیع	جلال رفیع
28	Bahareh Hedayat	بهاره هدایت
29	Akbar Mohammadi (student)	اکبر محمدی
30	Zahra Kazemi	زهرا کاظمی
31	Mohammad Farrokhi Yazdi	محمد فرخی یزدی
32	Nasser Zarafshan	ناصر زرافشان
33	Akbar Ganji	اکبر گنجی
34	Omid Reza Mir Sayafi	امیدرضا میرصیافی
35	Vahid Asghari	وحید اصغری
36	Hossein Khezri	حسین خضری
37	Kianush Sanjari	کیانوش سنجری
38	Mansour Osanlou	منصور اسانلو
39	Saeed Malekpour	سعید ملک‌پور
40	Marzieh Vafamehr	مرضیه وفامهر
41	Fariborz Raisdana	فریبرز رئیس‌دانا
42	Marina Nemat	مارینا نعمت
43	Ali Akbar Saidi Sirjani	علی‌اکبر سعیدی سیرجانی
44	Mohammad Ali Abtahi	محمدعلی ابطحی
45	Haleh Esfandiari	هاله اسفندیاری
46	Esha Momeni	عشا مومنی
47	Hamid Ghassemi Shall	حمید قاسمی
48	Mohsen Rouholamini	محسن روح‌الامینی
49	Nasrin Sotoudeh	نسرین ستوده
50	Pirouz Davani	پیروز دوانی
51	Abbas Amir Entezam	عباس امیرانتظام
52	Hossein Mousavian	حسین موسویان
53	Mehdi Dibaj	مهدی دیباج
54	Habibollah Latifi	حبیب‌الله لطیفی
55	Shahram Jazayeri Arab	شهرام جزایری عرب
56	Abdolhossein Teymourtash	عبدالحسین تیمورتاش
57	Ahmad Moftizadeh	احمد مفتی‌زاده
58	Reza Alinejad	رضا علی‌نژاد
59	Sattar Beheshti	ستار بهشتی
60	Abolqasem Lahouti	ابوالقاسم لاهوتی
61	Omid Kokabee	امید کوکبی
62	Hashem Sabbaghian	هاشم صباغیان
63	Kian Tajbakhsh	کیان تاج‌بخش
64	Zahra Bani Yaghoub	زهرا بنی‌یعقوب
65	Taraneh Mousavi	ترانه موسوی
66	Sakineh Mohammadi Ashtiani	سکینه محمدی آشتیانی
67	Peyman Fattahi	پیمان فتاحی
68	Mostafa Tajzadeh	مصطفی تاج‌زاده
69	Ebrahim Yazdi	ابراهیم یزدی
70	Babak Zanjani	بابک زنجانی
71	Youcef Nadarkhani	یوسف ندرخانی
72	فاطمه خردمند	فاطمه خردمند
73	Narges Mohammadi	نرگس محمدی (روزنامه‌نگار)
74	Jila Baniyaghoob	ژیلا بنی‌یعقوب
75	Behrouz Javid Tehrani	بهروز جاوید تهرانی
76	Mashallah Shamsolvaezin	ماشاالله شمس‌الواعظین
77	Mohammad Nourizad	محمد نوری‌زاد
78	Hashem Aghajari	سید هاشم آقاجری
79	Ardeshir Ovanessian	آرداشس اوانسیان
80	Clotilde Reiss	کلوتیلد ریس
81	Arash Rahmanipour	آرش رحمانی‌پور
82	Masoud Lavasani	مسعود لواسانی
