id	name	fa_label
1	Mansoor Hekmat	منصور حکمت
2	Ali Khamenei	سید علی خامنه‌ای
3	Ali Akbar Velayati	علی‌اکبر ولایتی
4	Mehdi Bazargan	مهدی بازرگان
5	Morteza Motahhari	مرتضی مطهری
6	Shahriar Shafiq	شهریار شفیق
7	Mohammad Reza Pahlavi	محمدرضا پهلوی
8	Nader Jahanbani	نادر جهانبانی
9	Mohammad Reza Mahdavi Kani	محمدرضا مهدوی کنی
10	Abdul Karim Mousavi Ardebili	سید عبدالکریم موسوی اردبیلی
11	Hussein Ali Montazeri	حسینعلی منتظری
12	Nematollah Nassiri	نعمت‌الله نصیری
13	Ahmad Sayyed Javadi	احمد صدر حاج‌سیدجوادی
14	Mohammad Ali Rajai	محمدعلی رجایی
15	Abbas Gharabaghi	عباس قره‌باغی
16	Ashraf Dehghani	اشرف دهقانی
17	Nasser Moghadam	ناصر مقدم
18	Karim Sanjabi	کریم سنجابی
19	Abolhassan Banisadr	ابوالحسن بنی‌صدر
20	Gholam Ali Oveisi	غلامعلی اویسی
21	Ahmad Khomeini	سید احمد خمینی
22	Ashraf Pahlavi	اشرف پهلوی
23	Massoud Rajavi	مسعود رجوی
24	Farah Pahlavi	فرح پهلوی
25	Hassan Habibi	حسن حبیبی
26	Ruhollah Khomeini	سید روح‌الله خمینی
27	Hassan Ayat	سید حسن آیت
28	Shapour Bakhtiar	شاپور بختیار
29	Pirouz Davani	پیروز دوانی
30	Habibollah Peyman	حبیب‌الله پیمان
31	Hasan Nazih	حسن نزیه
32	Jalaleddin Farsi	جلال‌الدین فارسی
33	Yadollah Sahabi	یدالله سحابی
34	Mohammad Mofatteh	محمد مفتح
35	Hashem Sabbaghian	هاشم صباغیان
36	Mohammad Kazem Shariatmadari	سید محمدکاظم شریعتمداری
37	Ebrahim Yazdi	ابراهیم یزدی
38	Mostafa Chamran	مصطفی چمران
39	Fereydoon Hoveyda	فریدون هویدا
40	Mohammad Tavasoli	محمد توسلی
41	Khadijeh Saqafi	خدیجه ثقفی
42	Jafar Sharif Emami	جعفر شریف‌امامی
43	Sadegh Ghotbzadeh	صادق قطب‌زاده
44	Hassan Rouhani	حسن روحانی
45	Gholam Reza Azhari	غلامرضا ازهاری
46	Mehdi Karroubi	مهدی کروبی
47	Sadegh Khalkhali	صادق خلخالی
48	Habib Elghanian	حبیب القانیان
49	Abbas Ali Khalatbari	عباسعلی خلعتبری
50	Mahmoud Taleghani	سید محمود طالقانی
51	Mohammad Mousavi Khoeiniha	سید محمد موسوی خوئینی‌ها
52	Mohammad Beheshti	سید محمد بهشتی
53	Jamshid Amouzegar	جمشید آموزگار
54	Mir Hossein Mousavi	میرحسین موسوی
55	Mohammad Javad Bahonar	محمدجواد باهنر
